+ACI-Manufacture Part Number+ACI-,+ACI-Description+ACI-,+ACI-Order Qty.+ACI-,+ACI-Unit Price+ACI-,+ACI-Unit Price (ZAR)+ACI-,+ACI-Order Price+ACI-,+ACI-Order Price (ZAR)+ACI-
+ACI-YD3082EESA+ACI-,+ACI-transceiver 1Mbps 1/1 SOP+AC0-8  RS+AC0-485/RS+AC0-422 ICs ROHS+ACI-,5000,0.1053,2.04652,526.5,10232.6
+ACI-UT3232G+AC0-S16+AC0-R+ACI-,+ACI-250Kbps transceiver 2/2 SOP+AC0-16  RS232 ICs ROHS+ACI-,2500,0.1524,2.961915,381,7404.7875
+ACI-PC817C+ACI-,+ACI- SMD+AC0-4P  Optocouplers +AC0- Phototransistor Output ROHS+ACI-,2000,0.0183,0.355663,36.6,711.326
+ACI-STM32G030K8T6+ACI-,+ACI-64KB 2V+AH4-3.6V CM0 8KB 64MHz FLASH 30 LQFP+AC0-32(7x7)  Microcontroller Units (MCUs/MPUs/SOCs) ROHS+ACI-,500,0.4614,8.967374,230.7,4483.687
+ACI-BW4GFNX39+AC0-15B1+ACI-,+ACI- +AC0-  Antennas ROHS+ACI-,400,0.2991,5.81305,119.64,2325.22
+ACI-TX4G+AC0-FPC+AC0-4015+ACI-,+ACI- +AC0-  Antennas ROHS+ACI-,100,0.2498,4.854898,24.98,485.4898
,,,,,,
+ACI-TotalZAR +AD0- 25643.11+ACI-,,,,,,
