+ACI-Manufacture Part Number+ACI-,+ACI-Description+ACI-,+ACI-Order Qty.+ACI-,+ACI-Unit Price+ACI-,+ACI-Unit Price (ZAR)+ACI-,+ACI-Order Price+ACI-,+ACI-Order Price (ZAR)+ACI-
+ACI-BWGMRJWX50+AC0-10WJ+ACI-,+ACI-1.8 Rubber rod antenna 3dBi Vertical 2.17GHz 50W +AC0-  Antennas ROHS+ACI-,500,0.5123,10.442119,256.15,5221.0595
,,,,,,
+ACI-TotalZAR +AD0- 5221.06+ACI-,,,,,,
