LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C30424,HF161F-W/12-HT,HF(Xiamen Hongfa Electroacoustic),,"Plugin,15.9x30.4mm","AgSnO2 12V 33A Normal Open:1A(SPST-Normal Open) 4 Plugin,15.9x30.4mm  Power Relays ROHS",YES,50,1\1,1.336400,66.82
C9013,SPX29302T5-L/TR,MaxLinear,,TO-263-5,3A Adjustable 1.25V~16V Positive 16V TO-263-5  Linear Voltage Regulators (LDO) ROHS,YES,120,1\1,0.443900,53.27
C2687651,TAS5-5-WEDT,TDPOWER,,"Plugin,19x38mm","5V 85VAC~265VAC 1A 100V~370V 5W 83% Plugin,19x38mm  Power Modules ROHS",YES,30,1\1,1.850300,55.51
C277929,SSP61CC4502MR,Shanghai Siproin Microelectronics,,SOT-23(TO-236),-0.3V~8V SOT-23(TO-236)  Monitors & Reset Circuits ROHS,YES,50,5\5,0.059500,2.98
