LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C2935985,DW254R-22-10-85,DEALON,,"Plugin,P=2.54mm","2.54mm 2.54mm 双排 3A 10P Straight 2x5P 8.5mm Top Square Holes Plugin,P=2.54mm  Female Headers ROHS",YES,50,5\5,0.087900,4.40
C434439,SZYY1206G,Yongyu Photoelectric,,1206,Emerald 1206  Light Emitting Diodes (LED) ROHS,YES,6000,50\50,0.008800,52.80
C434438,SZYY1206R,Yongyu Photoelectric,,1206,Colorless transparence -40℃~+85℃ 615nm~630nm Red 120° 40mW 1206  Light Emitting Diodes (LED) ROHS,YES,6000,50\50,0.007400,44.40
C434440,SZYY1206B,Yongyu Photoelectric,,1206,Colorless transparence -40℃~+85℃ 460nm~475nm blue 120° 100mW 1206  Light Emitting Diodes (LED) ROHS,YES,6000,50\50,0.008800,52.80
C8404,WJ126V-5.0-2P,Ningbo Kangnex Elec,,"Plugin,P=5mm","1x2P 18A -40℃~+105℃ 250V Green 14~26 Straight 5mm 2.5 1 2 Plugin,P=5mm  Screw terminal ROHS",YES,1000,5\5,0.042600,42.60
C86613,74HC04D,Shenzhen Fuman Elec,,SOP-14," SOP-14  Buffer/Driver/Transceiver ROHS",YES,500,10\10,0.045800,22.90
C107047,CC0603JRNPO9BN330,YAGEO,,0603,50V 33pF NP0 ±5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,8000,100\100,0.001700,13.60
C15008,CL31A107MQHNNNE,Samsung Electro-Mechanics,,1206,6.3V 100uF X5R ±20% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,4000,5\5,0.039100,156.40
C189750,R-RJ11R06P-A800,Ckmtw(Shenzhen Cankemeng),,Plugin,RJ11 RJReceptacle 1 Plugin  Ethernet Connectors/Modular Connectors (RJ45 RJ11) ROHS,YES,700,5\5,0.103500,72.45
C311983,TPS54302DDCR,Texas Instruments,,SOT-23-6,Step-down type Adjustable 0.596V~28V 3A 4.5V~28V SOT-23-6  DC-DC Converters ROHS,YES,3000,5\5,0.107500,322.50
C8401,WJ126V-5.0-3P,Ningbo Kangnex Elec,,"Plugin,P=5mm","1x3P 18A -40℃~+105℃ 250V Green 14~26 Straight 5mm 2.5 1 3 Plugin,P=5mm  Screw terminal ROHS",YES,1000,5\5,0.065700,65.70
C98931,HK4100F-DC3V-SHG,Ningbo Keke New Era Appliance,,"DIP,10.5x14.5mm"," DIP,10.5x14.5mm  Power Relays ROHS",YES,250,5\5,0.236200,59.05
C293728,955012881,MOLEX,,Plugin,RJReceptacle 1 Plugin  Ethernet Connectors/Modular Connectors (RJ45 RJ11) ROHS,YES,1386,1\1,0.286400,396.95
C93838,SM74HC595D,Shenzhen Sunmoon Micro,,SOP-16," SOP-16  Shifting Register ROHS",YES,150,5\5,0.049800,7.47
C396769,1206F106Z160CT,Walsin Tech Corp,,1206,16V 10uF Y5V -20%~+80% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,9000,5\5,0.000200,1.80
C2895460,XL-302UGC,XINGLIGHT,,"Plugin,D=3mm","Colorless transparence -25℃~+85℃ 510nm~520nm Emerald 50° 80mW Plugin,D=3mm  Light Emitting Diodes (LED) ROHS",YES,1000,20\20,0.014100,14.10
C2895462,XL-302SURC,XINGLIGHT,,"Plugin,D=3mm","Colorless transparence 615nm~620nm -25℃~+85℃ Red 50° 80mW Plugin,D=3mm  Light Emitting Diodes (LED) ROHS",YES,1000,20\20,0.015300,15.30
C2895464,XL-302UBC,XINGLIGHT,,"Plugin,D=3mm","Colorless transparence 460nm~465nm -25℃~+85℃ blue 50° 80mW Plugin,D=3mm  Light Emitting Diodes (LED) ROHS",YES,1000,20\20,0.014100,14.10
C280408,RT1C102M1010,ROQANG,,"SMD,D10xL10.2mm","1000uF 16V 320mA@120Hz ±20% SMD,D10xL10.2mm  Aluminum Electrolytic Capacitors - SMD ROHS",YES,500,5\5,0.053800,26.90
C2962377,USB-U202-BDS,Hanbo Electronic,,Plugin,1.5A USB 2.0 1 Right-Angle 4P Male 0℃~+50℃ Copper Type-A Plugin  USB Connectors ROHS,YES,20,10\10,0.042900,0.86
C2895461,XL-304UGC,XINGLIGHT,,"Plugin,D=3mm","Colorless transparence -25℃~+85℃ 510nm~520nm Emerald 50° 80mW Plugin,D=3mm  Light Emitting Diodes (LED) ROHS",YES,1000,20\20,0.015100,15.10
C2895465,XL-304UBC,XINGLIGHT,,"Plugin,D=3mm","Colorless transparence 460nm~465nm -25℃~+85℃ blue 50° 80mW Plugin,D=3mm  Light Emitting Diodes (LED) ROHS",YES,1000,20\20,0.015200,15.20
C2895463,XL-304SURC,XINGLIGHT,,"Plugin,D=3mm","Colorless transparence 615nm~620nm -25℃~+85℃ Red 50° 80mW Plugin,D=3mm  Light Emitting Diodes (LED) ROHS",YES,5000,20\20,0.013700,68.50
C167221,FXL0630-6R8-M,cjiang (Changjiang Microelectronics Tech),,"SMD,6.6x7mm","5A 6.8uH Molding Choke ±20% 6A SMD,6.6x7mm  Power Inductors ROHS",YES,3000,5\5,0.047200,141.60
