LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C2158003,AP63301WU-7,Diodes Incorporated,,SOT-23-6,Step-down type Adjustable 3A 0.8V~31V 3.8V~32V SOT-23-6  DC-DC Converters ROHS,YES,150,1\1,0.299100,44.87
C2158012,AP63300WU-7,Diodes Incorporated,,SOT-23-6,Step-down type Adjustable 3A 0.8V~31V 3.8V~32V SOT-23-6  DC-DC Converters ROHS,YES,150,1\1,0.311900,46.79
C167221,FXL0630-6R8-M,cjiang (Changjiang Microelectronics Tech),,"SMD,6.6x7mm","5A 6.8uH Molding Choke ±20% 6A SMD,6.6x7mm  Power Inductors ROHS",YES,300,5\5,0.062200,18.66
C431631,STM32G030K8T6,STMicroelectronics,,LQFP-32(7x7),64KB 2V~3.6V ARM Cortex-M0 8KB 64MHz FLASH 30 LQFP-32(7x7)  Microcontroller Units (MCUs/MPUs/SOCs) ROHS,YES,500,1\1,0.447100,223.55
C98931,HK4100F-DC3V-SHG,Ningbo Keke New Era Appliance,,"DIP,10.5x14.5mm"," DIP,10.5x14.5mm  Power Relays ROHS",YES,175,5\5,0.236200,41.34
