LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C14663,CC0603KRX7R9BB104,YAGEO,,0603,50V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,20000,100\100,0.001300,26.00
C2053283,ATTINY804-SSNR,Microchip Tech,,SOIC-14,8KB 512Byte FLASH 12 1.8V~5.5V AVR 20MHz SOIC-14  Microcontroller Units (MCUs/MPUs/SOCs) ROHS,YES,500,1\1,1.002300,501.15
C2764087,Ra-01SH,Ai-Thinker,,SMD-16P," SMD-16P  LoRa Modules ROHS",YES,200,1\1,3.850100,770.02
C25585,0603WAJ0102T5E,UNI-ROYAL(Uniroyal Elec),,0603,100mW Thick Film Resistors ±100ppm/℃ ±5% 1000Ω 0603  Chip Resistor - Surface Mount ROHS,YES,20000,100\100,0.000500,10.00
C2907046,FRC0603F5601TS,FOJAN,,0603,100mW Thick Film Resistors ±100ppm/℃ ±1% 5600Ω 0603  Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.000600,3.00
C2930098,FRC0603F3902TS,FOJAN,,0603,100mW Thick Film Resistors ±100ppm/℃ ±1% 39000Ω 0603  Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.000500,2.50
C2907001,FRC0603F1802TS,FOJAN,,0603,100mW Thick Film Resistors ±100ppm/℃ ±1% 18000Ω 0603  Chip Resistor - Surface Mount ROHS,YES,15000,100\100,0.000500,7.50
C7229,TAJD477K006RNJ,Kyocera AVX,,CASE-D-7343,470uF 6.3V 400mΩ@100kHz ±10% CASE-D-7343  Tantalum Capacitors ROHS,YES,1000,1\1,0.338900,338.90
C136817,10D431K,Hongzhi Elec,,Plugin,710V 350V 275V 387V~473V Plugin  Varistors ROHS,YES,1500,10\10,0.029700,44.55
C369130,JK250-120U,Jinrui Electronic Materials Co.,,"Plugin,P=5.1mm","250V 120mA 3A 240mA Plugin,P=5.1mm  Resettable Fuses ROHS",YES,2000,10\10,0.030300,60.60
C692540,XKSIM-003-P7,XKB Connectivity,,SMD,Copper Alloy Self bomb Gold plating 1.5mm Deck -40℃~+85℃ 260℃ MicroSIM card SMD  SIM Card Connectors ROHS,YES,2000,1\1,0.268900,537.80
