LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C5182063,FDC6420C,TECH PUBLIC,,SOT-23-6," SOT-23-6  MOSFETs ROHS",YES,1000,5\5,0.068200,68.20
C353397,SMBJ12CA,Shandong Jingdao Microelectronics,,SMB(DO-214AA),19.9V 13.3V 12V SMB(DO-214AA)  TVS ROHS,YES,500,20\20,0.024400,12.20
C12765,LBAT54SLT1G,LRC,,SOT-23,30V 0.4V 0.2A SOT-23  Schottky Barrier Diodes (SBD) ROHS,YES,1000,50\50,0.011200,11.20
C436282,PSPCAQ32-100M,PROD Tech,,"SMD,3.0x3.5x2.1mm","900mA 10uH ±20% 900mA SMD,3.0x3.5x2.1mm  Power Inductors ROHS",YES,500,20\20,0.024700,12.35
C2826623,CD32-150M,DMBJ,,SMD,820mA 15uH ±20% SMD  Power Inductors ROHS,YES,500,20\20,0.028100,14.05
C405087,CMLF0302-1R0MTT,Cybermax,,SMD,3.34A 1uH ±20% SMD  Power Inductors ROHS,YES,500,20\20,0.023100,11.55
C576567,YP0302-331M,YJYCOIN,,"SMD,3.5x3x2.1mm","120mA 330uH ±20% SMD,3.5x3x2.1mm  Power Inductors ROHS",YES,500,10\10,0.026000,13.00
C2927280,1N5819WS S4,JSMSEMI,,SOD-323,40V Single 350mA 600mV@200mA SOD-323  Schottky Barrier Diodes (SBD) ROHS,YES,3000,5\5,0.004800,14.40
C5181460,AMS1117-3.3,HX(hengjiaxing),,SOT-223," SOT-223  Linear Voltage Regulators (LDO) ROHS",YES,200,20\20,0.024300,4.86
C473812,AMS1117-5.0,Slkor(SLKORMICRO Elec.),,SOT-223,1.4A Fixed 5V Positive 18V SOT-223  Linear Voltage Regulators (LDO) ROHS,YES,200,10\10,0.033700,6.74
C444884,CL31A105KB9LNNC,Samsung Electro-Mechanics,,1206,50V 1uF X5R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,2000,50\50,0.011200,22.40
C274377,CC1206KRX7R9BB334,YAGEO,,1206,50V 330nF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,2000,20\20,0.017700,35.40
C282843,TCC1206X7R154K500DT,CCTC,,1206,50V 150nF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,2000,50\50,0.013200,26.40
C25597,0603WAJ0302T5E,UNI-ROYAL(Uniroyal Elec),,0603,100mW Thick Film Resistors ±100ppm/℃ ±5% 3kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.000600,3.00
C2999459,FRC0603F7R50TS,FOJAN,,0603,100mW Thick Film Resistors ±200ppm/℃ ±1% 7.5Ω 0603  Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.000700,3.50
C2933198,FRC0603F3300TS,FOJAN,,0603,100mW Thick Film Resistors ±100ppm/℃ ±1% 330Ω 0603  Chip Resistor - Surface Mount ROHS,YES,20000,100\100,0.000600,12.00
C83783,BL4054B-42TPRN,BL(Shanghai Belling),,SOT-23-5," SOT-23-5  Battery Management ICs ROHS",YES,200,5\5,0.110300,22.06
C57112,0603B103K500NT,FH (Guangdong Fenghua Advanced Tech),,0603,50V 10nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,4000,100\100,0.001600,6.40
C25804,0603WAF1002T5E,UNI-ROYAL(Uniroyal Elec),,0603,100mW Thick Film Resistors ±100ppm/℃ ±1% 10kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,15000,100\100,0.000600,9.00
C5246504,HV0J337M0607PZ,Honor Elec,,"SMD,D6.3xL7.7mm","6.3V 330uF SMD,D6.3xL7.7mm  Solid Capacitors ROHS",YES,1000,5\5,0.085800,85.80
C280408,RT1C102M1010,ROQANG,,"SMD,D10xL10.2mm","1000uF 16V ±20% SMD,D10xL10.2mm  Aluminum Electrolytic Capacitors - SMD ROHS",YES,2000,5\5,0.058200,116.40
C8404,WJ126V-5.0-2P,Ningbo Kangnex Elec,,"Plugin,P=5mm","1x2P 18A -40℃~+105℃ 250V Green 14~26 Straight pin 5mm 2.5 1 2 Plugin,P=5mm  Screw terminal ROHS",YES,2000,5\5,0.044100,88.20
C106188,TAJD477M006RNJ,Kyocera AVX,,CASE-D-7343,470uF 6.3V 400mΩ@100kHz ±20% CASE-D-7343  Tantalum Capacitors ROHS,YES,1000,1\1,0.340500,340.50
C5290177,BH-123A-A5BJ002,MYOUNG,,-,Battery case CR123A -  Battery Connectors ROHS,YES,100,1\1,0.407300,40.73
C5139018,M1820ZT5,Mysentech,,-," -  Temperature Sensors ROHS",YES,50,1\1,0.945000,47.25
C236397,XT1861B362MR-G,NATLINEAR,,SOT-23,boost converterType 3.6V 0.9V~6.5V SOT-23  DC-DC Converters ROHS,YES,1000,10\10,0.045700,45.70
C724871,Ra-01S,Ai-Thinker,,"SMD,16x17mm"," SMD,16x17mm  LoRa Modules ROHS",YES,800,1\1,2.970300,2376.24
C2764087,Ra-01SH,Ai-Thinker,,SMD-16P," SMD-16P  LoRa Modules ROHS",YES,200,1\1,3.846900,769.38
