"Manufacture Part Number","Description","Order Qty.","Unit Price","Unit Price (ZAR)","Order Price","Order Price (ZAR)"
"STA-S3201"," -  Antennas ROHS",3000,0.7758,24.004819,2327.4,72014.457
,,,,,,
"TotalZAR =72014.46",,,,,,
