Manufacture Part Number,Description,Order Qty.,Unit Price,Unit Price (ZAR),Order Price,Order Price (ZAR)
R-RJ11R06P-A800,RJ11 RJReceptacle 1 Plugin  Ethernet Connectors/Modular Connectors (RJ45 RJ11) ROHS,500,0.1035,2.444184,51.75,1222.0919999999999
R-RJ11R06P-A801,RJ11 RJReceptacle 1 Plugin  Ethernet Connectors/Modular Connectors (RJ45 RJ11) ROHS,500,0.1012,2.389868,50.6,1194.934
RTT03472JTP,100mW Thick Film Resistors 75V ±100ppm/℃ ±5% 4.7kΩ 0603  Chip Resistor - Surface Mount ROHS,20000,0.0005,0.011808,10.0,236.16000000000003
MCS0630-100MN1,4A 10uH ±20% SMD  Power Inductors ROHS,3000,0.0529,1.249249,158.7,3747.7470000000003
FSS2302S,"20V 2.5A 1000mW 55mΩ@4.5V,3.6A 1.5V@250uA N Channel SOT-23  MOSFETs ROHS",3000,0.0089,0.210176,26.7,630.528
FSS2301S,"20V 2.3A 700mW 90mΩ@4.5V,1.5A 0.62V@250uA P Channel SOT-23  MOSFETs ROHS",9000,0.0077,0.181838,69.3,1636.542
WJ2EDGK-5.08-2P,2 1 5.08mm 1x2P Green Plug P=5.08mm  Pluggable System Terminal Block ROHS,1500,0.0723,1.707386,108.45,2561.079
WJ2EDGRC-5.08-2P,"2 Bend 1 5.08mm 1x2P Green Board Edge/Receptacle-Close Push-Pull,P=5.08mm  Pluggable System Terminal Block ROHS",1500,0.0207,0.488837,31.05,733.2555
WJ126V-5.0-2P,"1x2P 18A -40℃~+105℃ 250V Green 14~26 Straight 5mm 2.5 1 2 Plugin,P=5mm  Screw terminal ROHS",1000,0.0426,1.006012,42.6,1006.012
WJ126V-5.0-3P,"1x3P 18A -40℃~+105℃ 250V Green 14~26 Straight 5mm 2.5 1 3 Plugin,P=5mm  Screw terminal ROHS",500,0.0657,1.551525,32.85,775.7625
C0603B104K500NT,50V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,20000,0.0011,0.025977,22.0,519.54
