Manufacture Part Number,Description,Order Qty.,Unit Price,Unit Price (ZAR),Order Price,Order Price (ZAR)
DW254R-22-10-85,"2.54mm 2.54mm 双排 3A 10P Straight 2x5P 8.5mm Top Square Holes Plugin,P=2.54mm  Female Headers ROHS",50,0.0879,2.231509,4.4,111.57545
SZYY1206G,Emerald 1206  Light Emitting Diodes (LED) ROHS,6000,0.0088,0.223405,52.8,1340.43
SZYY1206R,Colorless transparence -40℃~+85℃ 615nm~630nm Red 120° 40mW 1206  Light Emitting Diodes (LED) ROHS,6000,0.0074,0.187863,44.4,1127.178
SZYY1206B,Colorless transparence -40℃~+85℃ 460nm~475nm blue 120° 100mW 1206  Light Emitting Diodes (LED) ROHS,6000,0.0088,0.223405,52.8,1340.43
WJ126V-5.0-2P,"1x2P 18A -40℃~+105℃ 250V Green 14~26 Straight 5mm 2.5 1 2 Plugin,P=5mm  Screw terminal ROHS",1000,0.0426,1.081482,42.6,1081.482
74HC04D, SOP-14  Buffer/Driver/Transceiver ROHS,500,0.0458,1.16272,22.9,581.36
CC0603JRNPO9BN330,50V 33pF NP0 ±5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,8000,0.0017,0.043158,13.6,345.264
CL31A107MQHNNNE,6.3V 100uF X5R ±20% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,4000,0.0391,0.992628,156.4,3970.5119999999997
R-RJ11R06P-A800,RJ11 RJReceptacle 1 Plugin  Ethernet Connectors/Modular Connectors (RJ45 RJ11) ROHS,700,0.1035,2.627545,72.45,1839.2815
TPS54302DDCR,Step-down type Adjustable 0.596V~28V 3A 4.5V~28V SOT-23-6  DC-DC Converters ROHS,3000,0.1075,2.729093,322.5,8187.279
WJ126V-5.0-3P,"1x3P 18A -40℃~+105℃ 250V Green 14~26 Straight 5mm 2.5 1 3 Plugin,P=5mm  Screw terminal ROHS",1000,0.0657,1.66792,65.7,1667.92
HK4100F-DC3V-SHG," DIP,10.5x14.5mm  Power Relays ROHS",250,0.2362,5.996388,59.05,1499.097
955012881,RJReceptacle 1 Plugin  Ethernet Connectors/Modular Connectors (RJ45 RJ11) ROHS,1386,0.2864,7.270811,396.95,10077.344046
SM74HC595D, SOP-16  Shifting Register ROHS,150,0.0498,1.264268,7.47,189.6402
1206F106Z160CT,16V 10uF Y5V -20%~+80% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,9000,0.0002,0.005077,1.8,45.693
XL-302UGC,"Colorless transparence -25℃~+85℃ 510nm~520nm Emerald 50° 80mW Plugin,D=3mm  Light Emitting Diodes (LED) ROHS",1000,0.0141,0.357955,14.1,357.95500000000004
XL-302SURC,"Colorless transparence 615nm~620nm -25℃~+85℃ Red 50° 80mW Plugin,D=3mm  Light Emitting Diodes (LED) ROHS",1000,0.0153,0.38842,15.3,388.41999999999996
XL-302UBC,"Colorless transparence 460nm~465nm -25℃~+85℃ blue 50° 80mW Plugin,D=3mm  Light Emitting Diodes (LED) ROHS",1000,0.0141,0.357955,14.1,357.95500000000004
RT1C102M1010,"1000uF 16V 320mA@120Hz ±20% SMD,D10xL10.2mm  Aluminum Electrolytic Capacitors - SMD ROHS",500,0.0538,1.365816,26.9,682.908
USB-U202-BDS,1.5A USB 2.0 1 Right-Angle 4P Male 0℃~+50℃ Copper Type-A Plugin  USB Connectors ROHS,20,0.0429,1.089098,0.86,21.781959999999998
XL-304UGC,"Colorless transparence -25℃~+85℃ 510nm~520nm Emerald 50° 80mW Plugin,D=3mm  Light Emitting Diodes (LED) ROHS",1000,0.0151,0.383342,15.1,383.34200000000004
XL-304UBC,"Colorless transparence 460nm~465nm -25℃~+85℃ blue 50° 80mW Plugin,D=3mm  Light Emitting Diodes (LED) ROHS",1000,0.0152,0.385881,15.2,385.881
XL-304SURC,"Colorless transparence 615nm~620nm -25℃~+85℃ Red 50° 80mW Plugin,D=3mm  Light Emitting Diodes (LED) ROHS",5000,0.0137,0.347801,68.5,1739.005
FXL0630-6R8-M,"5A 6.8uH Molding Choke ±20% 6A SMD,6.6x7mm  Power Inductors ROHS",3000,0.0472,1.198262,141.6,3594.7859999999996
