Manufacture Part Number,Description,Order Qty.,Unit Price,Unit Price (ZAR),Order Price,Order Price (ZAR)
AP63301WU-7,Step-down type Adjustable 3A 0.8V~31V 3.8V~32V SOT-23-6  DC-DC Converters ROHS,150,0.2991,6.399502,44.87,959.9253
AP63300WU-7,Step-down type Adjustable 3A 0.8V~31V 3.8V~32V SOT-23-6  DC-DC Converters ROHS,150,0.3119,6.673369,46.79,1001.00535
FXL0630-6R8-M,"5A 6.8uH Molding Choke ±20% 6A SMD,6.6x7mm  Power Inductors ROHS",300,0.0622,1.330822,18.66,399.2466
STM32G030K8T6,64KB 2V~3.6V ARM Cortex-M0 8KB 64MHz FLASH 30 LQFP-32(7x7)  Microcontroller Units (MCUs/MPUs/SOCs) ROHS,500,0.4471,9.566089,223.55,4783.0445
HK4100F-DC3V-SHG," DIP,10.5x14.5mm  Power Relays ROHS",175,0.2362,5.053702,41.34,884.3978500000001
