Manufacture Part Number,Description,Order Qty.,Unit Price,Unit Price (ZAR),Order Price,Order Price (ZAR)
HF161F-W/12-HT,"AgSnO2 12V 33A Normal Open:1A(SPST-Normal Open) 4 Plugin,15.9x30.4mm  Power Relays ROHS",50,1.3364,32.850088,66.82,1642.5044
SPX29302T5-L/TR,3A Adjustable 1.25V~16V Positive 16V TO-263-5  Linear Voltage Regulators (LDO) ROHS,120,0.4439,10.911519,53.27,1309.38228
TAS5-5-WEDT,"5V 85VAC~265VAC 1A 100V~370V 5W 83% Plugin,19x38mm  Power Modules ROHS",30,1.8503,45.48228,55.51,1364.4684000000002
SSP61CC4502MR,-0.3V~8V SOT-23(TO-236)  Monitors & Reset Circuits ROHS,50,0.0595,1.462571,2.98,73.12855
