Manufacture Part Number,Description,Order Qty.,Unit Price,Unit Price (ZAR),Order Price,Order Price (ZAR)
HK4100F-DC3V-SHG," DIP,10.5x14.5mm  Power Relays ROHS",300,0.2362,5.666131,70.86,1699.8393
215877-1,RJ45 RJReceptacle Unshielded 1 cat3 Gold Phosphor bronze Without LED Plugin  Ethernet Connectors/Modular Connectors (RJ45 RJ11) ROHS,2100,0.5076,12.176664,1065.96,25570.9944
T491D477K006AT,470uF 6.3V 400mΩ@100kHz ±10% CASE-D-7343  Tantalum Capacitors ROHS,1000,0.3501,8.398444,350.1,8398.444
CR1/4W-1K±5%-ST26,"Carbon Resister 1kΩ 250mW ±350ppm/℃ ±5% Plugin,2.7x6.2mm  Through Hole Resistors ROHS",200,0.0025,0.059972,0.5,11.994399999999999
CR1/4W-10K±5%-ST26,"Carbon Resister 10kΩ 250mW ±350ppm/℃ ±5% Plugin,2.7x6.2mm  Through Hole Resistors ROHS",200,0.0024,0.057573,0.48,11.5146
YSPI0420-6R8M,"2A 6.8uH ±20% SMD,4.4x4.2x2mm  Power Inductors ROHS",250,0.1079,2.588381,26.98,647.09525
TPS54302DDCR,Step-down type Adjustable 0.596V~28V 3A 4.5V~28V SOT-23-6  DC-DC Converters ROHS,250,0.127,3.046565,31.75,761.64125
TX4G-FPC-4015, -  Antennas ROHS,100,0.2514,6.030759,25.14,603.0758999999999
TXGN-FPC-3308, -  Antennas ROHS,100,0.2498,5.992377,24.98,599.2377
BW4GFNX39-15B1, -  Antennas ROHS,100,0.2991,7.17502,29.91,717.502
FRC0603J183 TS,100mW Thick Film Resistors ±100ppm/℃ ±5% 18kΩ 0603  Chip Resistor - Surface Mount ROHS,10000,0.0005,0.011994,5.0,119.94
RM10D431KD1IE100,"710V 350V 275V 430V Plugin,P=7.5mm  Varistors ROHS",2000,0.0341,0.818015,68.2,1636.0300000000002
